[Ruhrgebiet Mod] Copying data files to cities/data/RHR...
[Ruhrgebiet Mod] Data files copied successfully.
[Ruhrgebiet Mod] Starting tile server on port 8080...
2026/08/29 21:57:07 main.go:162: served 200 %2FRHR%2F11%2F1061%2F683.mvt in 2.1615ms
2026/08/29 21:57:07 main.go:162: served 200 %2FRHR%2F11%2F1063%2F684.mvt in 3.10575ms
2026/08/29 21:57:07 main.go:162: served 200 %2FRHR%2F11%2F1061%2F684.mvt in 137.416µs
2026/08/29 21:57:07 main.go:162: served 200 %2FRHR%2F11%2F1064%2F683.mvt in 512.708µs
2026/08/29 21:57:07 main.go:162: served 200 %2FRHR%2F11%2F1064%2F684.mvt in 342.416µs
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2125%2F1366.mvt in 4.822959ms
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2126%2F1366.mvt in 4.476875ms
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2125%2F1365.mvt in 4.829834ms
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2124%2F1366.mvt in 5.866208ms
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2124%2F1367.mvt in 5.5215ms
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2125%2F1367.mvt in 6.262625ms
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2124%2F1365.mvt in 859.042µs
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2126%2F1367.mvt in 1.148708ms
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2123%2F1366.mvt in 706.666µs
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2126%2F1365.mvt in 707.375µs
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2123%2F1367.mvt in 1.349875ms
2026/08/29 21:57:08 main.go:162: served 200 %2FRHR%2F12%2F2123%2F1365.mvt in 948.583µs
2026/08/29 21:57:09 main.go:162: served 200 %2FRHR%2F13%2F4250%2F2734.mvt in 3.989ms
2026/08/29 21:57:09 main.go:162: served 200 %2FRHR%2F13%2F4250%2F2735.mvt in 2.834208ms
2026/08/29 21:57:09 main.go:162: served 200 %2FRHR%2F13%2F4249%2F2734.mvt in 3.066792ms
2026/08/29 21:57:09 main.go:162: served 200 %2FRHR%2F13%2F4251%2F2734.mvt in 3.613708ms
2026/08/29 21:57:09 main.go:162: served 200 %2FRHR%2F13%2F4251%2F2733.mvt in 2.892292ms
2026/08/29 21:57:09 main.go:162: served 200 %2FRHR%2F13%2F4250%2F2733.mvt in 4.399792ms
2026/08/29 21:57:09 main.go:162: served 200 %2FRHR%2F13%2F4249%2F2733.mvt in 449.75µs
2026/08/29 21:57:09 main.go:162: served 200 %2FRHR%2F13%2F4251%2F2735.mvt in 910.917µs
2026/08/29 21:57:09 main.go:162: served 200 %2FRHR%2F13%2F4249%2F2735.mvt in 576.958µs
2026/08/29 21:57:10 main.go:162: served 304 %2FRHR%2F13%2F4250%2F2735.mvt in 448.291µs
2026/08/29 21:57:10 main.go:162: served 304 %2FRHR%2F13%2F4251%2F2735.mvt in 429.625µs
2026/08/29 21:57:10 main.go:162: served 304 %2FRHR%2F13%2F4249%2F2735.mvt in 359.959µs
2026/08/29 21:57:11 main.go:162: served 304 %2FRHR%2F11%2F1061%2F684.mvt in 142.75µs
2026/08/29 21:57:11 main.go:162: served 304 %2FRHR%2F11%2F1063%2F684.mvt in 144.792µs
2026/08/29 21:57:11 main.go:162: served 304 %2FRHR%2F11%2F1062%2F684.mvt in 194.25µs
2026/08/29 21:57:14 main.go:162: served 304 %2FRHR%2F12%2F2123%2F1366.mvt in 2.987166ms
2026/08/29 21:57:14 main.go:162: served 304 %2FRHR%2F12%2F2123%2F1367.mvt in 3.975708ms
2026/08/29 21:57:14 main.go:162: served 200 %2FRHR%2F12%2F2126%2F1368.mvt in 4.7195ms
