[Ruhrgebiet Mod] Copying data files to cities/data/RHR...
[Ruhrgebiet Mod] Data files copied successfully.
[Ruhrgebiet Mod] Starting tile server on port 8094...
2026/08/27 19:14:35 main.go:162: served 304 %2FRHR%2F10%2F530%2F342.mvt in 1.908916ms
2026/08/27 19:14:35 main.go:162: served 304 %2FRHR%2F10%2F532%2F342.mvt in 2.297583ms
2026/08/27 19:14:35 main.go:162: served 304 %2FRHR%2F10%2F532%2F341.mvt in 2.65625ms
2026/08/27 19:14:35 main.go:162: served 304 %2FRHR%2F10%2F531%2F341.mvt in 2.960041ms
2026/08/27 19:14:35 main.go:162: served 304 %2FRHR%2F10%2F530%2F341.mvt in 3.116417ms
2026/08/27 19:14:35 main.go:162: served 204 %2FRHR%2F10%2F529%2F341.mvt in 31.75µs
2026/08/27 19:14:35 main.go:162: served 204 %2FRHR%2F10%2F529%2F342.mvt in 41.417µs
2026/08/27 19:14:37 main.go:162: served 204 %2FRHR%2F10%2F529%2F340.mvt in 33.167µs
2026/08/27 19:14:37 main.go:162: served 304 %2FRHR%2F10%2F531%2F340.mvt in 650.75µs
2026/08/27 19:14:37 main.go:162: served 304 %2FRHR%2F10%2F530%2F340.mvt in 584.792µs
2026/08/27 19:14:37 main.go:162: served 304 %2FRHR%2F10%2F532%2F340.mvt in 1.393917ms
2026/08/27 19:14:37 main.go:162: served 304 %2FRHR%2F10%2F533%2F342.mvt in 1.440417ms
2026/08/27 19:14:37 main.go:162: served 304 %2FRHR%2F10%2F533%2F341.mvt in 1.579708ms
2026/08/27 19:14:37 main.go:162: served 304 %2FRHR%2F10%2F533%2F340.mvt in 1.44025ms
2026/08/27 19:14:38 main.go:162: served 304 %2FRHR%2F10%2F530%2F339.mvt in 1.299292ms
2026/08/27 19:14:38 main.go:162: served 304 %2FRHR%2F10%2F533%2F339.mvt in 1.306666ms
2026/08/27 19:14:38 main.go:162: served 304 %2FRHR%2F10%2F531%2F339.mvt in 1.546708ms
2026/08/27 19:14:38 main.go:162: served 304 %2FRHR%2F10%2F532%2F339.mvt in 1.604666ms
2026/08/27 19:15:07 main.go:162: served 200 %2FRHR%2F11%2F1063%2F681.mvt in 3.866791ms
2026/08/27 19:15:07 main.go:162: served 200 %2FRHR%2F11%2F1065%2F681.mvt in 2.457083ms
2026/08/27 19:15:07 main.go:162: served 200 %2FRHR%2F11%2F1064%2F680.mvt in 3.461375ms
2026/08/27 19:15:07 main.go:162: served 200 %2FRHR%2F11%2F1064%2F681.mvt in 4.427542ms
2026/08/27 19:15:07 main.go:162: served 200 %2FRHR%2F11%2F1063%2F680.mvt in 3.808625ms
2026/08/27 19:15:07 main.go:162: served 200 %2FRHR%2F11%2F1062%2F681.mvt in 2.89125ms
2026/08/27 19:15:07 main.go:162: served 200 %2FRHR%2F11%2F1062%2F680.mvt in 517.541µs
2026/08/27 19:15:07 main.go:162: served 200 %2FRHR%2F11%2F1065%2F682.mvt in 328.042µs
2026/08/27 19:15:07 main.go:162: served 200 %2FRHR%2F11%2F1065%2F680.mvt in 252.125µs
