[Munich Mod] Copying data files to cities/data/MUC...
[Munich Mod] Data files copied successfully.
[Munich Mod] Starting tile server on port 8082...
2026/08/27 11:58:38 server.go:200: fetched MUC 12477-8430
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17438%2F11370.mvt in 1.596708ms
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17437%2F11370.mvt in 2.021709ms
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17438%2F11369.mvt in 2.640958ms
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17437%2F11369.mvt in 3.187333ms
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17438%2F11368.mvt in 2.258542ms
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17437%2F11368.mvt in 2.709625ms
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17436%2F11370.mvt in 220.875µs
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17436%2F11369.mvt in 313.958µs
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17436%2F11368.mvt in 336.875µs
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17439%2F11369.mvt in 247.917µs
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17439%2F11368.mvt in 104.709µs
2026/08/27 11:58:38 main.go:162: served 200 %2FMUC%2F15%2F17439%2F11370.mvt in 322.5µs
2026/08/27 11:58:39 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 1.06275ms
2026/08/27 11:58:39 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11369.mvt in 1.545417ms
2026/08/27 11:58:39 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 186.708µs
2026/08/27 11:58:39 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11369.mvt in 202.75µs
2026/08/27 11:58:40 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 311.75µs
2026/08/27 11:58:40 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 174.375µs
2026/08/27 11:58:40 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 238.833µs
2026/08/27 11:58:41 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 161.709µs
2026/08/27 11:58:43 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 279.125µs
2026/08/27 11:58:44 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 214.5µs
2026/08/27 11:58:44 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 217.208µs
2026/08/27 11:58:44 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 211.708µs
2026/08/27 11:58:44 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11369.mvt in 205.541µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11369.mvt in 167.334µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 210.042µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11370.mvt in 144.916µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11370.mvt in 114.667µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11369.mvt in 162.875µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11369.mvt in 137.083µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11370.mvt in 122.125µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11369.mvt in 145.333µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11370.mvt in 74.833µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17437%2F11368.mvt in 59.25µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11369.mvt in 63.083µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17438%2F11368.mvt in 73.833µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11368.mvt in 91.708µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17436%2F11370.mvt in 214.959µs
2026/08/27 11:58:45 main.go:162: served 304 %2FMUC%2F15%2F17439%2F11368.mvt in 134.834µs
